"continuation_type","adverb_type","negation_position","observations","participants","mean_rating","sd_rating","se_rating","median_rating"
"match","temporal","second_clause",49,49,3.85714285714286,1.39940463531222,0.199914947901746,5
"match","temporal","first_clause",49,49,3.22448979591837,1.62359305916498,0.231941865594998,4
"match","manner","second_clause",49,49,3.40816326530612,1.47080430585529,0.210114900836469,4
"match","manner","first_clause",49,49,3.24489795918367,1.53474498756984,0.219249283938549,4
"match","ideophone","second_clause",49,49,3.12244897959184,1.43806370195633,0.205437671708048,4
"match","ideophone","first_clause",49,49,3.14285714285714,1.35400640077266,0.193429485824666,3
"mismatch","temporal","second_clause",49,49,4.26530612244898,1.07578479500784,0.153683542143978,5
"mismatch","temporal","first_clause",49,49,3.73469387755102,1.51073257897289,0.215818939853269,4
"mismatch","manner","second_clause",49,49,3.85714285714286,1.39940463531222,0.199914947901746,4
"mismatch","manner","first_clause",49,49,3.46938775510204,1.37085801623665,0.195836859462378,4
"mismatch","ideophone","second_clause",49,49,4.18367346938776,1.07380688416949,0.153400983452785,4
"mismatch","ideophone","first_clause",49,49,3.69387755102041,1.27808583489551,0.182583690699358,4
